IP:Port,Loss,Latency
162.159.192.50:946,0%,2.67
188.114.98.93:8854,0%,2.70
162.159.192.138:8854,0%,2.70
188.114.96.199:7281,0%,2.70
188.114.96.89:1701,0%,2.71
162.159.195.113:8742,0%,2.73
188.114.98.234:7152,0%,2.74
188.114.98.99:943,0%,2.74
188.114.97.134:854,0%,2.74
188.114.99.198:908,0%,2.75
188.114.99.222:891,0%,2.76
162.159.195.89:934,0%,2.76
162.159.192.130:7156,0%,2.77
162.159.192.193:859,0%,2.79
188.114.97.102:8886,0%,2.80
188.114.99.223:894,0%,2.80
188.114.96.77:894,0%,2.81
188.114.99.36:988,0%,2.83
162.159.195.213:3476,0%,2.83
162.159.192.145:2371,0%,2.85
188.114.99.67:5279,0%,2.86
188.114.98.211:7156,0%,2.86
188.114.97.41:2506,0%,2.87
162.159.192.248:7156,0%,2.87
162.159.195.68:1014,0%,2.88
188.114.98.159:500,0%,2.88
188.114.99.64:8742,0%,2.88
188.114.99.232:3138,0%,2.90
188.114.98.214:894,0%,2.91
188.114.97.90:3476,0%,2.91
162.159.192.93:4500,0%,2.95
188.114.99.68:939,0%,2.95
162.159.192.239:7103,0%,2.97
188.114.97.103:908,0%,2.97
188.114.97.98:8742,0%,2.98
188.114.97.139:859,0%,2.99
188.114.97.36:8886,0%,2.99
188.114.97.56:1018,0%,3.00
162.159.192.83:3476,0%,3.01
188.114.98.184:1014,0%,3.02
162.159.192.72:1387,0%,3.04
162.159.192.173:943,0%,3.04
162.159.192.182:5279,0%,3.04
162.159.192.36:3854,0%,3.04
188.114.96.18:3854,0%,3.06
162.159.195.65:1701,0%,3.06
162.159.195.3:1843,0%,3.07
162.159.192.24:943,0%,3.07
188.114.99.70:4198,0%,3.09
188.114.96.239:3854,0%,3.09
188.114.99.130:878,0%,3.09
162.159.195.48:934,0%,3.12
162.159.192.124:1843,0%,3.12
188.114.96.72:1180,0%,3.12
162.159.192.5:878,0%,3.12
162.159.192.26:987,0%,3.12
188.114.99.189:4233,0%,3.13
188.114.96.23:891,0%,3.13
162.159.195.95:5956,0%,3.14
188.114.99.104:7281,0%,3.14
188.114.98.58:7559,0%,3.15
162.159.192.216:5956,0%,3.15
162.159.195.108:903,0%,3.16
188.114.96.32:894,0%,3.17
188.114.98.246:2408,0%,3.18
188.114.96.55:987,0%,3.18
162.159.195.254:3854,0%,3.19
162.159.195.146:988,0%,3.20
188.114.99.54:1070,0%,3.20
188.114.98.34:987,0%,3.21
162.159.195.210:1014,0%,3.21
188.114.96.161:891,0%,3.21
162.159.195.6:5279,0%,3.22
188.114.96.43:955,0%,3.23
162.159.195.108:8742,0%,3.23
188.114.97.140:988,0%,3.23
162.159.192.19:928,0%,3.23
188.114.97.218:4198,0%,3.24
188.114.96.249:894,0%,3.25
188.114.96.195:5956,0%,3.25
188.114.98.63:7559,0%,3.26
162.159.195.194:894,0%,3.27
188.114.96.240:890,0%,3.27
188.114.96.197:880,0%,3.28
188.114.98.144:8854,0%,3.28
162.159.195.176:2506,0%,3.28
188.114.98.108:946,0%,3.28
188.114.98.34:864,0%,3.29
162.159.195.68:1387,0%,3.29
188.114.99.35:988,0%,3.29
162.159.192.114:987,0%,3.29
188.114.97.174:4198,0%,3.30
188.114.97.26:955,0%,3.30
188.114.97.120:1002,0%,3.30
162.159.195.29:854,0%,3.31
188.114.99.72:3854,0%,3.32
188.114.97.204:1843,0%,3.32
188.114.99.179:946,0%,3.32
162.159.195.240:7103,0%,3.32
188.114.97.154:7152,0%,3.33
188.114.96.177:1002,0%,3.33
188.114.96.21:8742,0%,3.33
188.114.99.83:3138,0%,3.33
188.114.97.93:968,0%,3.33
188.114.96.9:8854,0%,3.34
188.114.96.103:988,0%,3.34
162.159.195.173:4198,0%,3.35
162.159.192.252:942,0%,3.35
188.114.97.12:3581,0%,3.35
162.159.195.241:7281,0%,3.35
188.114.98.123:7103,0%,3.35
188.114.97.41:894,0%,3.35
188.114.99.36:7559,0%,3.36
188.114.98.70:955,0%,3.37
188.114.99.228:864,0%,3.37
188.114.97.55:864,0%,3.37
188.114.98.199:945,0%,3.37
162.159.192.59:7281,0%,3.38
188.114.96.27:4177,0%,3.38
188.114.96.90:2371,0%,3.39
162.159.192.102:943,0%,3.39
188.114.96.0:8886,0%,3.39
188.114.96.216:5956,0%,3.39
188.114.99.24:5956,0%,3.39
188.114.97.215:968,0%,3.39
188.114.97.197:1002,0%,3.40
188.114.99.71:891,0%,3.40
162.159.192.197:5279,0%,3.40
162.159.192.61:890,0%,3.40
188.114.96.34:2371,0%,3.41
188.114.98.12:4177,0%,3.42
188.114.97.157:894,0%,3.42
188.114.99.98:988,0%,3.42
188.114.98.101:968,0%,3.42
188.114.99.121:2408,0%,3.42
188.114.99.145:3138,0%,3.42
188.114.99.141:4500,0%,3.43
162.159.195.203:5956,0%,3.43
188.114.99.136:7156,0%,3.43
188.114.98.0:968,0%,3.44
188.114.96.70:2371,0%,3.44
162.159.195.136:988,0%,3.44
162.159.195.86:2506,0%,3.44
188.114.96.205:894,0%,3.45
188.114.98.175:934,0%,3.45
188.114.99.181:2506,0%,3.45
162.159.195.119:945,0%,3.46
188.114.99.121:4500,0%,3.46
188.114.98.152:1387,0%,3.46
188.114.97.22:1074,0%,3.47
188.114.96.98:864,0%,3.47
188.114.99.232:968,0%,3.47
188.114.98.201:1002,0%,3.47
188.114.97.156:3476,0%,3.47
162.159.195.45:3476,0%,3.48
162.159.192.62:891,0%,3.49
162.159.192.145:500,0%,3.49
188.114.96.135:1074,0%,3.49
188.114.96.92:987,0%,3.49
162.159.195.170:2371,0%,3.49
162.159.192.234:3581,0%,3.50
162.159.192.57:2408,0%,3.50
162.159.195.35:7103,0%,3.51
188.114.98.98:1387,0%,3.51
188.114.98.185:880,0%,3.51
162.159.192.157:4500,0%,3.53
188.114.99.244:890,0%,3.53
188.114.99.126:4177,0%,3.53
188.114.97.252:946,0%,3.53
162.159.192.250:8742,0%,3.54
162.159.195.227:4198,0%,3.54
188.114.96.240:1070,0%,3.55
162.159.195.216:7559,0%,3.55
162.159.195.192:878,0%,3.55
188.114.98.133:8886,0%,3.55
162.159.195.165:1002,0%,3.55
188.114.98.211:7281,0%,3.56
188.114.98.50:1074,0%,3.56
162.159.195.179:4500,0%,3.56
188.114.96.104:945,0%,3.57
188.114.99.54:7103,0%,3.57
188.114.99.211:968,0%,3.57
188.114.96.77:1070,0%,3.58
188.114.96.38:5956,0%,3.58
188.114.97.231:1010,0%,3.59
162.159.192.105:1014,0%,3.59
188.114.97.113:859,0%,3.60
188.114.99.188:2408,0%,3.60
188.114.98.187:1387,0%,3.60
188.114.96.106:7156,0%,3.61
162.159.195.3:864,0%,3.61
188.114.99.38:939,0%,3.61
188.114.97.71:500,0%,3.62
162.159.192.51:3581,0%,3.62
188.114.96.217:7559,0%,3.63
188.114.96.255:934,0%,3.64
188.114.98.190:928,0%,3.64
188.114.97.147:1070,0%,3.65
188.114.98.74:942,0%,3.66
162.159.195.25:880,0%,3.66
188.114.96.108:7103,0%,3.66
188.114.96.226:4233,0%,3.66
188.114.96.178:946,0%,3.66
188.114.98.52:5279,0%,3.66
188.114.96.253:968,0%,3.67
162.159.195.16:3476,0%,3.67
188.114.97.172:890,0%,3.68
162.159.192.35:4177,0%,3.68
188.114.98.148:2506,0%,3.70
162.159.192.16:859,0%,3.70
188.114.99.118:1387,0%,3.70
162.159.195.249:7559,0%,3.72
188.114.99.160:4233,0%,3.72
162.159.192.95:1180,0%,3.73
188.114.98.178:4500,0%,3.73
188.114.98.146:2506,0%,3.75
188.114.96.35:1010,0%,3.76
188.114.99.176:7559,0%,3.77
188.114.96.41:8319,0%,3.78
188.114.97.38:8319,0%,3.78
162.159.192.1:5956,0%,3.78
188.114.99.34:934,0%,3.78
188.114.99.184:854,0%,3.79
188.114.97.219:4500,0%,3.79
162.159.195.145:7103,0%,3.79
188.114.99.181:1014,0%,3.79
162.159.195.85:2371,0%,3.80
188.114.96.62:8742,0%,3.80
188.114.98.194:1070,0%,3.81
188.114.99.184:891,0%,3.81
162.159.192.126:5956,0%,3.82
188.114.96.102:859,0%,3.82
162.159.195.7:7152,0%,3.82
188.114.99.247:945,0%,3.83
162.159.195.210:939,0%,3.83
162.159.195.79:878,0%,3.83
188.114.98.102:859,0%,3.83
188.114.96.126:903,0%,3.84
162.159.195.196:934,0%,3.84
162.159.192.104:7559,0%,3.84
162.159.192.98:946,0%,3.85
188.114.99.178:955,0%,3.88
188.114.97.140:7559,0%,3.88
188.114.97.166:8742,0%,3.88
188.114.98.200:8742,0%,3.88
188.114.96.211:864,0%,3.89
188.114.96.144:946,0%,3.90
188.114.96.23:939,0%,3.91
162.159.195.83:942,0%,3.91
188.114.96.19:2371,0%,3.91
162.159.195.111:1018,0%,3.92
162.159.192.109:7559,0%,3.92
188.114.97.10:894,0%,3.92
188.114.96.17:1843,0%,3.92
188.114.97.74:8742,0%,3.93
188.114.98.85:894,0%,3.93
188.114.96.34:988,0%,3.94
188.114.97.215:878,0%,3.95
188.114.99.68:5956,0%,3.96
188.114.98.82:1387,0%,3.97
188.114.99.232:878,0%,3.99
188.114.99.12:859,0%,3.99
188.114.98.98:7156,0%,3.99
188.114.99.26:4198,0%,3.99
188.114.96.166:8854,0%,4.02
162.159.192.182:939,0%,4.02
188.114.97.122:1180,0%,4.02
188.114.97.15:1014,0%,4.02
188.114.98.187:908,0%,4.04
188.114.96.202:880,0%,4.04
188.114.96.14:1070,0%,4.04
188.114.97.55:7152,0%,4.05
188.114.97.250:946,0%,4.05
162.159.195.11:4198,0%,4.05
162.159.192.56:7559,0%,4.05
162.159.192.197:939,0%,4.06
188.114.96.162:1387,0%,4.06
162.159.192.229:1701,0%,4.06
188.114.99.248:1002,0%,4.06
188.114.96.56:880,0%,4.06
188.114.99.26:7103,0%,4.07
188.114.98.3:8742,0%,4.08
188.114.97.43:7152,0%,4.10
188.114.99.88:8319,0%,4.10
188.114.99.138:1070,0%,4.10
188.114.96.168:7103,0%,4.11
162.159.192.231:3581,0%,4.11
188.114.99.219:5279,0%,4.12
188.114.98.69:3854,0%,4.12
162.159.195.168:1014,0%,4.12
188.114.97.244:2371,0%,4.13
188.114.98.35:854,0%,4.14
188.114.96.230:500,0%,4.14
188.114.97.238:1180,0%,4.14
162.159.195.139:854,0%,4.15
188.114.96.217:4198,0%,4.15
162.159.192.124:903,0%,4.15
188.114.96.254:945,0%,4.16
162.159.192.8:7152,0%,4.17
188.114.98.51:1074,0%,4.18
188.114.97.13:4500,0%,4.18
188.114.99.162:5279,0%,4.19
162.159.195.232:928,0%,4.19
188.114.97.28:946,0%,4.20
188.114.97.147:1701,0%,4.21
188.114.96.226:928,0%,4.23
188.114.99.167:2371,0%,4.23
188.114.96.110:2408,0%,4.26
188.114.99.199:7103,0%,4.26
188.114.97.230:3138,0%,4.27
188.114.99.48:854,0%,4.27
188.114.98.231:903,0%,4.27
162.159.192.91:3138,0%,4.27
188.114.97.88:1002,0%,4.28
188.114.98.226:955,0%,4.30
188.114.98.249:5956,0%,4.30
188.114.99.119:890,0%,4.31
188.114.96.59:988,0%,4.31
188.114.99.167:945,0%,4.32
188.114.99.14:3138,0%,4.32
162.159.192.125:878,0%,4.33
188.114.97.230:859,0%,4.33
188.114.96.133:7103,0%,4.34
162.159.192.223:4198,0%,4.34
188.114.97.68:943,0%,4.35
